account,risk_level,max_score,mean_score,total_transactions,suspicious_transactions,total_amount
C619985571,low_risk,0.4880674302577972,0.4880674302577972,1,0,270.78
C875917495,low_risk,0.4880674302577972,0.3940337151288986,2,0,354433.02
C763677574,low_risk,0.4880417704582214,0.4880417704582214,1,0,271.32
M1906549136,low_risk,0.4880417704582214,0.4880417704582214,1,0,271.32
C1746117425,low_risk,0.4831959694623947,0.4831959694623947,1,0,353.9
M467146800,low_risk,0.4831959694623947,0.4831959694623947,1,0,353.9
C600958416,low_risk,0.48240727484226226,0.48240727484226226,1,0,365.0
M1884231057,low_risk,0.48240727484226226,0.48240727484226226,1,0,365.0
C1237144823,low_risk,0.4789945006370544,0.4789945006370544,1,0,402.54
M1801422599,low_risk,0.4789945006370544,0.4789945006370544,1,0,402.54
C184244257,low_risk,0.4786721467971802,0.4786721467971802,1,0,406.11
M1275011461,low_risk,0.4786721467971802,0.4786721467971802,1,0,406.11
C785535226,low_risk,0.45482681840658185,0.45482681840658185,1,0,571.54
M309965122,low_risk,0.45482681840658185,0.45482681840658185,1,0,571.54
C1123629720,low_risk,0.4513830333948135,0.22542555347699322,6,0,399616.86
C1890287843,low_risk,0.4513830333948135,0.4513830333948135,1,0,593.4
C1810518740,low_risk,0.44887839704751964,0.44887839704751964,1,0,106.81
M295180183,low_risk,0.44887839704751964,0.44887839704751964,1,0,106.81
C1793249762,low_risk,0.44857900142669677,0.44857900142669677,1,0,106.07
M171651946,low_risk,0.44857900142669677,0.44857900142669677,1,0,106.07
C1644864746,low_risk,0.44818072170019146,0.44818072170019146,1,0,613.83
M766696861,low_risk,0.44818072170019146,0.44818072170019146,1,0,613.83
C1393198164,low_risk,0.4465898036956787,0.4465898036956787,1,0,624.1
M506775047,low_risk,0.4465898036956787,0.4465898036956787,1,0,624.1
C385784873,low_risk,0.4451063334941864,0.4451063334941864,1,0,633.75
M1050149826,low_risk,0.4451063334941864,0.4451063334941864,1,0,633.75
C1275009283,low_risk,0.44461683630943294,0.44461683630943294,1,0,636.95
M1658512704,low_risk,0.44461683630943294,0.44461683630943294,1,0,636.95
C951677655,low_risk,0.44223018288612365,0.44223018288612365,1,0,652.67
M1396292525,low_risk,0.44223018288612365,0.44223018288612365,1,0,652.67
C2112135199,low_risk,0.4367024049162864,0.4367024049162864,1,0,689.85
M738111983,low_risk,0.4367024049162864,0.4367024049162864,1,0,689.85
C1456061400,low_risk,0.43453476727008816,0.43453476727008816,1,0,704.74
M1661777060,low_risk,0.43453476727008816,0.43453476727008816,1,0,704.74
C66845334,low_risk,0.4283274218440056,0.4283274218440056,1,0,748.42
M1701436909,low_risk,0.4283274218440056,0.4283274218440056,1,0,748.42
