account,risk_level,max_score,mean_score,total_transactions,suspicious_transactions,total_amount
C106297322,high_risk,0.9999999983357515,0.9999999983357515,1,1,2421578.09
C1590550415,high_risk,0.9999999983357515,0.9124363547949024,28,28,20677294.13
C1057507014,high_risk,0.9930442018743029,0.9930442018743029,1,1,2545478.01
C1495608502,high_risk,0.9790707144149196,0.9790707144149196,1,1,1724887.05
C2007599722,high_risk,0.9789153153964403,0.9789153153964403,1,1,2061082.82
C1883840933,high_risk,0.9754197102321966,0.9050246656332254,9,9,8142080.51
C197491520,high_risk,0.9754197102321966,0.9754197102321966,1,1,3776389.09
C476579021,high_risk,0.9717225913406768,0.9717225913406768,1,1,1538200.39
C396918327,high_risk,0.9670605325314456,0.9670605325314456,1,1,1457213.54
C2015999862,high_risk,0.9631265785151795,0.9631265785151795,1,1,770537.37
C1219553025,high_risk,0.9601442405914669,0.9601442405914669,1,1,2317408.88
C1520267010,high_risk,0.9541976702157895,0.9541976702157895,1,1,1429051.47
C1450451686,high_risk,0.9374219638364634,0.9374219638364634,1,1,1718569.78
C214774813,high_risk,0.9374219638364634,0.9374219638364634,1,1,1718569.78
C1321115948,high_risk,0.9359237993759828,0.9359237993759828,1,1,1193410.46
C173791568,high_risk,0.9344354780836293,0.9344354780836293,1,1,349505.89
C1649847375,high_risk,0.9328739310651728,0.9328739310651728,1,1,1440296.14
C1198817209,high_risk,0.929008055333779,0.929008055333779,1,1,26295.3
C843299092,high_risk,0.9221819537745259,0.9221819537745259,1,1,581294.26
C660595570,high_risk,0.9195430968866738,0.9195430968866738,1,1,90340.16
C412788346,high_risk,0.9187236275061346,0.9187236275061346,1,1,761507.39
C1514214932,high_risk,0.9155271092557598,0.9155271092557598,1,1,691738.36
C767436045,high_risk,0.9079193501958356,0.9079193501958356,1,1,178370.36
C195163481,high_risk,0.9052610831864918,0.9052610831864918,1,1,2604219.11
C97730845,high_risk,0.9052610831864918,0.7779312239109215,12,11,4815345.66
C609879567,high_risk,0.9039409363420337,0.9039409363420337,1,1,70139.43
C2123533871,high_risk,0.9035878005195526,0.9035878005195526,1,1,222711.47
C2108708444,high_risk,0.9026719858251957,0.9026719858251957,1,1,143405.8
C667346055,high_risk,0.9026719858251957,0.8237427748587397,5,5,977171.78
C1541075662,high_risk,0.8998575085711475,0.8998575085711475,1,1,66413.56
C1816757085,high_risk,0.8964251960023835,0.777354171023345,12,12,4376689.43
C327840833,high_risk,0.8964251960023835,0.8964251960023835,1,1,2107293.71
C712732521,high_risk,0.8958851427765784,0.8958851427765784,1,1,298109.36
C1449772539,high_risk,0.895026531479888,0.895026531479888,1,1,379856.23
C283923004,high_risk,0.8949771674037128,0.8949771674037128,1,1,616461.19
C1870252780,high_risk,0.8934234224747599,0.6356606381677771,8,4,3203795.82
C1976535023,high_risk,0.8934234224747599,0.8934234224747599,1,1,1795820.94
C11003494,high_risk,0.8897754201275818,0.8551419897723149,4,4,1190598.47
C588449070,high_risk,0.8897754201275818,0.8897754201275818,1,1,54988.56
C1262822392,high_risk,0.8891633464419002,0.8220157568071212,13,13,5142419.16
C1602785474,high_risk,0.8891633464419002,0.8891633464419002,1,1,1636507.63
