transaction_id,fraud_score,is_suspicious,explanation
C1002041276_1,0.14471806642510682,False,"Top drivers: step (0.089), origin_balance_delta (-0.011), dest_balance_delta (-0.009)"
C1002911155_1,0.14519509543962758,False,"Top drivers: step (0.089), origin_balance_delta (-0.011), amount (-0.008)"
C1003206025_1,0.15257937252623055,False,"Top drivers: step (0.089), origin_balance_delta (-0.010), dest_balance_delta (-0.007)"
C1003755748_1,0.14568612711183693,False,"Top drivers: step (0.089), origin_balance_delta (-0.011), amount (-0.010)"
C1004430079_1,0.20999226984325284,False,"Top drivers: step (0.091), newbalanceOrig (0.013), origin_balance_delta (-0.010)"
C100445376_1,0.5134030345995028,False,"Top drivers: step (0.098), type_frequency (-0.010), dest_balance_delta (0.008) | Rules: origin_balance_mismatch: Origin balance off by 59390.46"
C1006624255_1,0.15513629333213325,False,"Top drivers: step (0.089), origin_balance_delta (-0.012), amount (-0.008)"
C100708535_1,0.7274072969925807,True,"Top drivers: step (0.087), newbalanceOrig (0.040), oldbalanceOrg (0.031) | Rules: high_amount: Amount 377287.80 >= 200000.0; origin_balance_mismatch: Origin balance off by 754575.60"
C1007660652_1,0.15095386437468783,False,"Top drivers: step (0.089), origin_balance_delta (-0.011), dest_balance_delta (-0.007)"
C1008608255_1,0.16172923787197305,False,"Top drivers: step (0.091), origin_balance_delta (-0.010), amount (-0.009)"
C1008612116_1,0.14334426167602585,False,"Top drivers: step (0.088), origin_balance_delta (-0.012), dest_balance_delta (-0.009)"
C1009218257_1,0.14310615538107146,False,"Top drivers: step (0.088), origin_balance_delta (-0.011), amount (-0.009)"
C1009916891_1,0.5157255678961918,False,"Top drivers: step (0.099), type_frequency (-0.010), dest_balance_delta (0.006) | Rules: high_amount: Amount 204691.97 >= 200000.0; origin_balance_mismatch: Origin balance off by 193156.26"
C1011044643_1,0.4253896059134044,False,"Top drivers: step (0.095), type_frequency (0.059), newbalanceDest (0.025)"
C1011104118_1,0.5608589927804217,False,"Top drivers: step (0.100), oldbalanceDest (0.022), newbalanceDest (0.013) | Rules: origin_balance_mismatch: Origin balance off by 20574.82"
C1011481270_1,0.45935871860230043,False,"Top drivers: step (0.091), amount (-0.009), dest_balance_delta (-0.008) | Rules: origin_balance_mismatch: Origin balance off by 12123.91"
C1011599868_1,0.6130895167906278,True,"Top drivers: step (0.093), newbalanceOrig (0.031), oldbalanceOrg (0.027) | Rules: origin_balance_mismatch: Origin balance off by 396886.98"
C1012552887_1,0.6907758752345805,True,"Top drivers: dest_is_new (0.084), step (0.081), type_frequency (0.025) | Rules: high_amount: Amount 272709.33 >= 200000.0; origin_balance_mismatch: Origin balance off by 196642.33; new_destination_large_amount: New destination received 272709.33"
C1015122628_1,0.6214903509193335,True,"Top drivers: dest_is_new (0.090), step (0.079), type_frequency (-0.005) | Rules: new_destination_large_amount: New destination received 98247.27"
C1016633682_1,0.45203098149448334,False,"Top drivers: step (0.090), amount (-0.009), dest_balance_delta (-0.009) | Rules: origin_balance_mismatch: Origin balance off by 9006.78"
C1016856028_1,0.35658917234205384,False,"Top drivers: step (0.084), newbalanceOrig (0.053), oldbalanceOrg (0.050)"
C1017792343_1,0.5640157049400264,False,"Top drivers: step (0.100), oldbalanceDest (0.017), dest_balance_delta (0.016) | Rules: origin_balance_mismatch: Origin balance off by 134616.54"
C102103410_1,0.6804347746467247,True,"Top drivers: step (0.094), origin_balance_delta (0.025), newbalanceOrig (0.022) | Rules: high_amount: Amount 383446.61 >= 200000.0; origin_balance_mismatch: Origin balance off by 766893.22"
C1021565761_1,0.5927555696255977,False,"Top drivers: step (0.097), type_frequency (0.034), dest_balance_delta (0.011) | Rules: origin_balance_mismatch: Origin balance off by 16631.14"
C102318785_1,0.4843493829416228,False,"Top drivers: step (0.097), type_frequency (-0.011), newbalanceOrig (-0.006) | Rules: origin_balance_mismatch: Origin balance off by 60360.45"
C1026483832_1,0.20722783498578284,False,"Top drivers: step (0.091), newbalanceOrig (0.013), origin_balance_delta (-0.009)"
