transaction_id,fraud_score,is_suspicious,explanation
C1002041276_1,0.41161196271101513,False,"Top drivers: dest_balance_delta (0.087), oldbalanceOrg (0.033), amount (0.032)"
C1002911155_1,0.3264142371915969,False,"Top drivers: dest_balance_delta (0.082), step (0.019), newbalanceDest (0.019)"
C1003206025_1,0.3594026049403581,False,"Top drivers: dest_balance_delta (0.074), oldbalanceOrg (0.035), newbalanceOrig (0.032)"
C1003755748_1,0.4739155645625683,False,"Top drivers: dest_balance_delta (0.082), amount (0.069), oldbalanceOrg (0.032)"
C1004430079_1,0.39716586482661603,False,"Top drivers: dest_balance_delta (0.084), oldbalanceOrg (0.035), newbalanceOrig (0.031)"
C100445376_1,0.9281102177010514,True,"Top drivers: amount (0.081), origin_balance_delta (0.077), newbalanceDest (0.063) | Rules: origin_balance_mismatch: Origin balance off by 59390.46"
C1006624255_1,0.37855448968749855,False,"Top drivers: dest_balance_delta (0.079), oldbalanceOrg (0.034), newbalanceOrig (0.032)"
C100708535_1,0.9886390416263606,True,"Top drivers: amount (0.076), origin_balance_delta (0.069), dest_balance_delta (0.068) | Rules: high_amount: Amount 377287.80 >= 200000.0; origin_balance_mismatch: Origin balance off by 754575.60"
C1007660652_1,0.21450688122820866,False,"Top drivers: dest_balance_delta (0.069), newbalanceDest (0.020), oldbalanceDest (0.019)"
C1008608255_1,0.43620429161086294,False,"Top drivers: dest_balance_delta (0.086), amount (0.044), oldbalanceOrg (0.033)"
C1008612116_1,0.4078255897134152,False,"Top drivers: dest_balance_delta (0.084), amount (0.036), oldbalanceOrg (0.033)"
C1009218257_1,0.40993861326027187,False,"Top drivers: dest_balance_delta (0.086), oldbalanceOrg (0.034), amount (0.031)"
C1009916891_1,0.9914955745048819,True,"Top drivers: amount (0.076), origin_balance_delta (0.069), dest_balance_delta (0.063) | Rules: high_amount: Amount 204691.97 >= 200000.0; origin_balance_mismatch: Origin balance off by 193156.26"
C1011044643_1,0.44620552645601613,False,"Top drivers: amount (0.072), newbalanceDest (0.062), oldbalanceOrg (0.031)"
